店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
京焼肉にしき 上桂本店 ,050-5487-4079,,京都府,京都市西京区松尾大利町,20-8,,,True
京都鉄板焼 grow ,050-5487-4079,,京都府,京都市下京区四条通河原町東入真町,88,,,True
京の焼肉処 蓮蔵 ,050-5486-7083,,京都府,京都市中京区堺町通三条大阪材木町,690-1,,,True
ホルモン焼肉円蔵 長岡京総本店 ,050-5486-7083,,京都府,長岡京市開田,1-21-22,,,True
黒毛和牛一頭買い焼肉と 炊き立て土鍋ご飯 市場小路 烏丸店,050-5488-3638,,京都府,京都市,下京区四条烏丸東入ル長刀鉾町8,,,True
京都鉄板焼 結 ～musubi～ ,050-5488-3638,,京都府,京都市下京区西玉水町,284,,,True
炭火焼肉 つんく ,050-5488-4939,,京都府,京都市下京区夷之町,714,,,True
焼肉じゅうじゅうカルビ 桂南店 ,050-5488-4939,,京都府,京都市南区久世上久世町,924-1,,,True
牛力庵 ,050-5486-1606,,京都府,京都市右京区梅津堤上町,14,,,True
牛・キムラ ,050-5486-1606,,京都府,京都市下京区大宮通高辻下ル高辻大宮町,110-7,,,True
京洛焼肉やぶ ,050-5487-7744,,京都府,京都市中京区紙屋町,356-2,,,True
焼肉 あにき ,050-5487-7744,,京都府,京都市中京区壬生梛ノ宮町,13-16,,,True
ヤキニク甲  京都蛸薬師店 ,075-366-4474,,京都府,京都市中京区油屋町,120-1,,,True
京焼肉にしき 千本今出川店,075-366-4474,,京都府,京都市上京区元誓願寺千本東入元,4-402,,,True
焼肉屋 大将 ,050-5486-5752,,京都府,京都市中京区下樵木町,199-6,,,True
松阪牛 What’s ,050-5486-5752,,京都府,京都市中京区室町通三条下ル烏帽子屋町,477,,,True
板前焼肉 一笑 四条木屋町 ,050-5485-8067,,京都府,京都市下京区船頭町,237-9,,,True
焼肉ホルモン　オンザライス ,050-5485-8067,,京都府,京都市伏見区深草西浦町,4-33-2,,,True
牛京～ごきょう～ 西陣本店,050-5487-3408,,京都府,京都市北区紫野宮西町,3-3,,,True
祇園焼肉 志 ,050-5487-3408,,京都府,京都市東山区新橋花見小路南東角橋本町,398-2,,,True
焼肉 元気一番 ,050-5487-6523,,京都府,相楽郡精華町光台,1-4-1,,,True
京町家の黒毛和牛一頭買い焼肉 市場小路 木屋町店,050-5487-6523,,京都府,京都市下京区木屋町通仏光寺上ル天王子町,3-154-1,,,True
先斗町 肉処 だん炉 京都店 ,050-5489-5700,,京都府,京都市中京区下憔木町,199-1,,,True
肉亭 結 ,050-5489-5700,,京都府,京都市中京区上樵木町,503-2,,,True
焼肉牛匠 新 ,050-5487-3301,,京都府,京都市東山区末吉町,95-5,,,True
ごきげんえびす 亀岡駅前店 ,050-5487-3301,,京都府,京都市下京区西境町,155,,,True
焼肉どうらく 京都六角通り店,050-5488-1233,,京都府,亀岡市追分町馬場通,21-7,,,True
西院焼肉YUU ,050-5488-1233,,京都府,京都市中京区松ケ枝町,455,,,True
焼肉家蔵 松井山手店 ,050-5487-5215,,京都府,京都市右京区西院西三蔵町,24-1,,,True
焼肉 お富 ,050-5487-5215,,京都府,京田辺市山手中央,3-2,,,True
神戸ロイン別邸  鉄板焼 京彩宴 京都祇園 本店,050-5484-3448,,京都府,京都市中京区新京極通四条上ル中之町,573-4,,,True
Teppan Steak House 青山 ,050-5484-3448,,京都府,京都市東山区祇園町北側,263,,,True
炭火炉端焼 龍馬光路 ,050-5493-2447,,京都府,京都市中京区役行者町,359-1,,,True
原価酒場 牛タン けいすけ 京都駅前 ,050-5493-2447,,京都府,京都市右京区西院三蔵町,32-2,,,True
鉄板・串焼き SABRINA（サブリナ） ,050-5493-1159,,京都府,京都市下京区東塩小路町,717-3,,,True
焼き肉家 益市 八条口 ,050-5493-1159,,京都府,京都市下京区烏丸通塩小路下る東塩小路町,902,,,True
焼肉 大仙 本店,050-5485-5286,,京都府,京都市南区東九条北烏丸町,6-6,,,True
焼肉食べ放題やる気 四条河原町店 ,050-5485-5286,,京都府,京都市中京区西ノ京船塚町,16-9,,,True
個室焼肉 京・黒桜 ,075-531-6555,,京都府,京都市中京区河原町通蛸薬師下ル塩屋町,333-1,,,True
迎賓館 精華町店 ,075-531-6555,,京都府,京都市中京区東木屋町通四条上ル鍋屋町,211-2,,,True
焼肉酒家 牛角 河原町三条店 ,050-5485-5114,,京都府,相楽郡精華町光台,1-3-1,,,True
炭焼ダイニング くおくお。 山科駅前店,050-5485-5114,,京都府,京都市中京区三条通河原町西入ル石橋町,28,,,True
肉重つづみ ,050-5487-9111,,京都府,京都市山科区竹鼻竹ノ街道町,65,,,True
焼肉 ホルモン 肉料理 陽気 烏丸 ,050-5487-9111,,京都府,京都市山科区栗栖野打越町,32-5,,,True
肉が旨い。松井山手店 ,050-5494-6797,,京都府,京都市中京区占出山町,305,,,True
焼肉 ホルモン 蔵 寺町店 ,050-5494-6797,,京都府,京田辺市山手南,2-2-3,,,True
牛串 石網焼 朋月 ,050-5493-7721,,京都府,京都市下京区貞安前之町,609 寺町通,,,True
炭火焼肉おやけ 撰‐SEN‐ ,050-5493-7721,,京都府,京都市左京区田中野神町,5-1,,,True
肉屋  甲  京都錦店 ,050-5494-6568,,京都府,京都市中京区高倉通四条上ル帯屋町,578,,,True
京都 五黄の寅 ,050-5494-6568,,京都府,京都市中京区十文字町,455-2,,,True
